,,,,"Basic parameters (12, without feature selection)",,,,,,,,,,,,Target,,
Group No,Year,Group,Specimen No,a/d,b0/d,w/b,d_g/d_g0,f_c',p,f_y/f_c,V_f,k_f,r_f,a_f,F,t_p,,
1,1982,Swamy and Ali,S-1,8.45,10,0.47,0.625,37.8,0.56%,12.22222222,0,0,0,0.0 ,0.0 ,1.977,,
,,,S-2,8.45,10,0.47,0.625,39,0.56%,11.84615385,0.6,0.6,1,100.0 ,36.0 ,2.436,,
,,,S-3,8.45,10,0.47,0.625,37.8,0.56%,12.22222222,0.9,0.6,1,100.0 ,54.0 ,2.629,,
,,,S-4,8.45,10,0.47,0.625,36.9,0.56%,12.5203252,1.2,0.6,1,100.0 ,72.0 ,2.81,,
,,,S-5,8.45,10,0.47,0.625,37.8,0.56%,12.22222222,0.9,0.6,0.532544379,100.0 ,54.0 ,2.672,,
,,,S-7,8.45,10,0.47,0.625,38.9,0.75%,11.87660668,0,0,0,0.0 ,0.0 ,2.217,,
,,,S-13,8.45,10,0.47,0.625,39.3,0.75%,11.75572519,0.9,0.4,0.606508876,83.3 ,30.0 ,2.367,,
,,,S-12,8.45,10,0.47,0.625,36.8,0.75%,12.55434783,0.9,0.8,0.606508876,100.0 ,72.0 ,2.49,,
,,,S-11,8.45,10,0.47,0.625,37.1,0.75%,12.45283019,0.9,0.6,0.606508876,100.0 ,54.0 ,2.62,,
,,,S-8,8.45,10,0.47,0.625,41.1,0.75%,11.24087591,0.9,0.6,0.606508876,100.0 ,54.0 ,2.557,,
2,1987,Narayanan and Darwish,S1,8.222222222,12.88888889,0.4,0.0375,43.28,1.84%,12.70794824,0,0,1,0.0 ,0.0 ,3.314176245,,
,,,S2,8.222222222,12.88888889,0.4,0.0375,52.08,1.84%,10.56067588,0.25,0.6,1,100.0 ,15.0 ,3.578544061,,
,,,S3,8.222222222,12.88888889,0.4,0.0375,44.72,1.84%,12.29874776,0.5,0.6,1,100.0 ,30.0 ,3.908045977,,
,,,S4,8.222222222,12.88888889,0.4,0.0375,46,1.84%,11.95652174,0.75,0.6,1,100.0 ,45.0 ,4.118773946,,
,,,S5,8.222222222,12.88888889,0.4,0.0375,52.96,1.84%,10.38519637,1,0.6,1,100.0 ,60.0 ,4.352490421,,
,,,S6,8.222222222,12.88888889,0.4,0.0375,53.04,1.84%,10.36953243,1.25,0.6,1,100.0 ,75.0 ,4.681992337,,
,,,S7,8.222222222,12.88888889,0.4,0.0375,46.96,1.60%,11.7120954,1,0.6,1,100.0 ,60.0 ,3.54789272,,
,,,S8,8.222222222,12.88888889,0.4,0.0375,45.28,2.08%,12.14664311,1,0.6,1,100.0 ,60.0 ,4.256704981,,
,,,S9,8.222222222,12.88888889,0.4,0.0375,43.52,2.30%,12.63786765,1,0.6,1,100.0 ,60.0 ,4.264367816,,
,,,S10,8.222222222,12.88888889,0.4,0.0375,47.6,2.53%,11.55462185,1,0.6,1,100.0 ,60.0 ,4.264367816,,
,,,S11,8.222222222,12.88888889,0.55,0.0375,29.76,1.84%,18.4811828,1,0.6,1,100.0 ,60.0 ,3.14559387,,
,,,S12,8.222222222,12.88888889,0.55,0.0375,32.4,1.84%,16.97530864,1,0.6,1,100.0 ,60.0 ,3.252873563,,
3,1993,Theodorakopoulos and Swamy,FS-1,8.45,10,0.4,1.25,35.36,0.56%,13.00904977,0,0,0,0.0 ,0.0 ,1.735,,
,,,FS-2,8.45,10,0.4,1.25,34,0.56%,13.52941176,0.5,0.6,0.650887574,100.0 ,30.0 ,2.25,,
,,,FS-3,8.45,10,0.4,1.25,35.648,0.56%,12.90394973,1,0.6,0.650887574,100.0 ,60.0 ,2.474,,
,,,FS-4,8.45,10,0.4,1.25,37.336,0.56%,12.32054853,1,0.6,0.650887574,100.0 ,60.0 ,2.244,,
